id,url,createdAt,text,authorUsername,authorName,authorFollowers,likeCount,replyCount,retweetCount,quoteCount,bookmarkCount,viewCount,lang,conversationId,inReplyToUsername,depth
"2098139944732487941","https://x.com/eminimnim/status/2098139944732487941","Thu Sep 10 20:01:59 +0000 2026","@preyforge good tip","eminimnim","nim","2049","5","0","0","0","0","15247","en","2098072497182666987","preyforge","2"
"2098139995345236151","https://x.com/there_hegoAgain/status/2098139995345236151","Thu Sep 10 20:02:11 +0000 2026","@eminimnim raspberrys literally do anything lol","there_hegoAgain","stevie ef","247","0","0","0","0","0","90","en","2098072497182666987","eminimnim","1"
"2098140091751231521","https://x.com/eminimnim/status/2098140091751231521","Thu Sep 10 20:02:34 +0000 2026","@kenyondigital a lot more of these https://t.co/9tAoE9Spis","eminimnim","nim","2049","76","2","2","0","44","22786","en","2098072497182666987","kenyondigital","2"
"2098140182495076780","https://x.com/Kvpendergast/status/2098140182495076780","Thu Sep 10 20:02:55 +0000 2026","@eminimnim total cost?","Kvpendergast","Kyle","931","0","0","0","0","0","289","ca","2098072497182666987","eminimnim","1"
"2098140200367014135","https://x.com/kenwheeler/status/2098140200367014135","Thu Sep 10 20:02:59 +0000 2026","@eminimnim did you send it to jlc yet","kenwheeler","patagucci perf papi","69857","10","1","0","0","3","1692","en","2098072497182666987","eminimnim","1"
"2098140332990816762","https://x.com/eminimnim/status/2098140332990816762","Thu Sep 10 20:03:31 +0000 2026","@_esk_kse_ check back in a week or two!","eminimnim","nim","2049","9","1","0","0","3","4437","en","2098072497182666987","_esk_kse_","2"
"2098140437290590473","https://x.com/jstnurmind/status/2098140437290590473","Thu Sep 10 20:03:56 +0000 2026","@eminimnim Big one","jstnurmind","jstnurmind","167","0","0","0","0","0","35","en","2098072497182666987","eminimnim","1"
"2098140815822397480","https://x.com/kenwheeler/status/2098140815822397480","Thu Sep 10 20:05:26 +0000 2026","@eminimnim triple check any smd","kenwheeler","patagucci perf papi","69857","5","0","0","0","0","423","en","2098072497182666987","kenwheeler","2"
"2098141874590519467","https://x.com/astrodanish/status/2098141874590519467","Thu Sep 10 20:09:39 +0000 2026","@eminimnim impressive, looking forward to see it assembled and working!","astrodanish","Danish Hussain","12801","25","1","0","0","0","779","en","2098072497182666987","eminimnim","1"
"2098141909780767135","https://x.com/kalospepgod/status/2098141909780767135","Thu Sep 10 20:09:47 +0000 2026","@eminimnim So you have a real product in your hands…right? https://t.co/kGSI5w4oMb","kalospepgod","kalos","6941","2","0","0","0","0","145","en","2098072497182666987","eminimnim","1"
"2098142046062268673","https://x.com/not_claudio/status/2098142046062268673","Thu Sep 10 20:10:20 +0000 2026","@eminimnim No way! That’s awesome, please do a video once you have assembled it a tried it!","not_claudio","notclaudio","327","0","0","0","0","0","664","en","2098072497182666987","eminimnim","1"
"2098142284282032621","https://x.com/atres_/status/2098142284282032621","Thu Sep 10 20:11:16 +0000 2026","@eminimnim Cute concept image but where is the actual controller","atres_","atres aguirrezabal","504","0","0","0","0","0","122","en","2098072497182666987","eminimnim","1"
"2098142413504311468","https://x.com/kieranklaassen/status/2098142413504311468","Thu Sep 10 20:11:47 +0000 2026","@pgerrits @eminimnim yes! finally haha","kieranklaassen","Kieran Klaassen","18834","1","0","0","0","0","11","en","2098072497182666987","pgerrits","2"
"2098142428259918325","https://x.com/danedisonsiegel/status/2098142428259918325","Thu Sep 10 20:11:51 +0000 2026","@eminimnim @plsoulie uhhhhh","danedisonsiegel","Daniel Siegel","623","0","0","0","0","0","76","und","2098072497182666987","eminimnim","1"
"2098142588926861471","https://x.com/danedisonsiegel/status/2098142588926861471","Thu Sep 10 20:12:29 +0000 2026","@eminimnim @plsoulie this is cool ... scary though","danedisonsiegel","Daniel Siegel","623","0","0","0","0","0","227","en","2098072497182666987","eminimnim","1"
"2098142965268914578","https://x.com/HaimBender/status/2098142965268914578","Thu Sep 10 20:13:59 +0000 2026","@eminimnim no soldering involved?","HaimBender","Haim Bender","258","1","1","0","0","0","6399","en","2098072497182666987","eminimnim","1"
"2098143405524087157","https://x.com/___stets___/status/2098143405524087157","Thu Sep 10 20:15:44 +0000 2026","@eminimnim I'm working on something similar for a synth!","___stets___","stetson 🤠","1901","1","0","0","0","0","126","en","2098072497182666987","eminimnim","1"
"2098143724144337328","https://x.com/eminimnim/status/2098143724144337328","Thu Sep 10 20:17:00 +0000 2026","@HaimBender i asked it to keep the soldering and assembly to a minimal for now and its using prebuilt parts","eminimnim","nim","2049","3","2","0","0","1","5809","en","2098072497182666987","HaimBender","2"
"2098143974217195825","https://x.com/k_grajeda/status/2098143974217195825","Thu Sep 10 20:17:59 +0000 2026","@eminimnim bro really thinks he is teenage engineering more like young adult engineering","k_grajeda","Kevin Grajeda","9623","19","2","0","0","0","885","en","2098072497182666987","eminimnim","1"
"2098144286411800922","https://x.com/Spunkworks/status/2098144286411800922","Thu Sep 10 20:19:14 +0000 2026","@eminimnim OP1 got its good looks from this https://t.co/bQPSrv7q0a","Spunkworks","Vince Wheeler","34","14","1","0","0","2","862","en","2098072497182666987","eminimnim","1"
